Song	Artist	Genre	Rank
After the Lovin'	Engelbert Humperdinck	Jazz	48
B. C. Clark Jewelers	Al Fiegel	"Jingle, 
Christmas"	11
Honestly	Ekolu	Jawaiian	14
If	"Sung Si Kyung, 
Bread"	Soft Rock	19
It Might Be You	"Stephen Bishop, 
Kai"	Boyband	16
Kissing A Fool	"George Michael, 
Sung Si Kyung"	Jazz	29
Lovefool	The Cardigans	Pop	34
Mr. Blue Sky	Electric Light Orchestra	Rock	10
My Boo	Ghost Town DJs	R&B	10
Only Mine	Aldrine Guerrero	Jazz	10
Pumapatak Na Naman Ang Ulan	Apo Hiking Society	Jazz	12
Rainbow	South Border	Boyband	29
Run To You	Whitney Houston	Ballad	23
That's All	Edie Adams	Jazz	52
The Skye Boat	Outlander	Folk	0
When You Wish Upon A Star	Pinnochio	Ballad	32
You Don't Know Me	"Ray Charles, 
Izzy"	Soul	13
2 Years to Eternity	Pau Hana	Jawaiian	5
5 Foot 2	Bing Crosby	Vaudeville	20
Adventure Time	Finn & Jake	Theme	5
Alphabet Song	Public Domain	Children	7
Baa Baa Black Sheep	Public Domain	Children	7
Back Here	BB Mak	Boyband	7
Broccoli	McFly	Rock	22
Can't Help Falling In Love	Elvis Presley	Soft Rock	10
Careless Whisper	George Michael	Pop	5
Count On Me	Bruno Mars	Jawaiian	6
Cupid	112	R&B	6
Damn I Love You	JC Reyes	Ballad	20
Drinking Problem	"Midland, 
Ekolu"	Jawaiian	4
Drop Baby Drop	Mana'o Company	Jawaiian	5
Ehu Girl	Kolohe Kai	Jawaiian	7
Everything	Michael Buble	Pop	21
Fallin' For You	Colbie Caillat	Pop	7
God Bless America	Public Domain	Patriotic	6
Happy Birthday	Public Domain	Children	11
Heart and Soul	Hoagy Carmichael	Vaudeville	11
Hey Soul Sister	Train	Jawaiian	6
Hotel California	Eagles	Rock	8
How Deep Is Your Love	The Bee Gees	Disco	28
I Do	Colbie Caillat	Pop	13
I Hear Music	Ka'au Crater Boys	Jawaiian	7
I Will Always Love You	Whitney Houston	Ballad	4
Ice-Cream	Aldrine Guerrero	Jawaiian	7
If I Ain't Got You	Alicia Keys	R&B	14
I'll Hear Your Voice	Rockapella	Ballad	26
I'm Yours	Jason Mraz	Jawaiian	4
Just Haven't Met You Yet	Michael Buble	Pop	8
L. O. V. E.	Nat King Cole	Jazz	30
Let It Go	"Idina Menzel, 
Disney Frozen"	"Ballad, 
Disney"	12
"Let It Snow, Let It Snow, Let It Snow"	Dean Martin	"Jazz, 
Christmas"	11
Love and Honesty	Hawaiian Style Band	Jawaiian	15
Love Is Easy	McFly	Rock	10
More	Bobby Darin	Jazz	24
More Than Words	Extreme	Soft Rock	19
Move Bitch	Ludacris	Rap	5
Nightbird	Kalapana	Jawaiian	19
Nothin' On You	"BoB, 
Bruno Mars"	Hip Hop	19
Regulate	"Nate Dog, 
Warren G"	Rap	13
Rhythm of Love	Plain White Ts	Jawaiian	8
Rude	Magic!	Reggae	4
Sail On	Lionel Richie	Soft Rock	14
Sailor's Hornpipe	Jack Dale	"Classical, 
Picking"	6
Seasons of Love	Rent	Musical	25
So Close	"Alan Menken, 
Jon McLaughlin"	Ballad	15
Somewhere Over the Rainbow	Izzy	Jawaiian	15
Still Into You	Paramore	Rock	4
Stuck On You	Lionel Richie	Soft Rock	5
Sweet Pea	Jason Mraz	Jawaiian	8
Tarzan Boy	Baltimora	Rock	5
Tears In Heaven	Eric Clapton	Soft Rock	14
That's Me	JC Reyes	Ballad	11
The Christmas Song	"Mel Torme, 
Nat King Cole"	"Jazz, 
Christmas"	17
Thinking Out Loud	Ed Sheeran	Pop	7
Truly	Lionel Richie	Soft Rock	27
Twinkle Twinkle Little Star	Public Domain	Children	7
When The Saints Come Marching In	Public Domain	Patriotic	4
Winter Wonderland	"Dean Martin, 
Bing Crosby"	"Jazz, 
Christmas"	13
Write Me A Letter	Maoli	Jawaiian	3
You're Nobody Till Somebody Loves You	Dean Martin	Jazz	26
A Ba Ka Da	Florante	Children	5
A Thousand Miles	Vanessa Carlton	Pop	0
All My Life	K-Ci & JoJo	R&B	0
Bakit Pa Ba	Jay R	Ballad	0
Canon In C	Pachelbel	"Classical, 
Picking"	0
Count On Us	Teenage Mutant Ninja Turtles	Rock	0
Dahil Sa Yo	"Pinay, 
Cora & Santos Beloy"	Ballad	0
Drowning	Backstreet Boys	Boyband	0
Emotions	Mariah Carey	R&B	0
End of the Road	Boyz II Men	R&B	0
Far From You	Natalie Prass	Ballad	15
"Greensleeves
What Child Is This"	Public Domain	"Christmas, 
Picking"	0
How Do I Live	LeAnn Rimes	Country	
Human Nature	Michael Jackson	"Pop, 
Picking"	0
I Can Love You That	All-4-One	Boyband	0
I Want You Back	"Michael Jackson, 
Jackson 5"	Pop	0
It's My Life	Bon Jovi	Rock	0
Jingle Bells	Public Domain	"Christmas, 
Picking"	0
Love Like You	"Rebecca Sugar, 
Steven Universe"	Jazz	0
Memories	Maroon 5	Pop	0
Misty's Song	"Yvette Laboy, 
Pokemon"	Pop	0
Moonlight Legend	Sailor Moon	Theme	0
Present Love (??? ??)	"Sung Si Kyung, 
Ann"	Ballad	0
Rather Be	Clean Bandit	Pop	0
Rock With You	Michael Jackson	Disco	0
Schizophrenic Snowflake	Aldrine Guerrero	Rock	0
Short Court Style	Natalie Prass	R&B	
Show Me The Meaning of Being Lonely	Backstreet Boys	Boyband	0
Silent Night	Public Domain	"Christmas, 
Picking"	0
Simple and Clean 	Utada Hikaru	J-Pop	0
Sorry Seems To Be the Hardest Word	"Elton John, 
Sung Si Kyung"	Ballad	0
This I Promise You	N'Sync	Boyband	0
This Old Heart of Mine	"Isley Brothers, 
A Loss for Words"	Rock	0
Tonight You Belong To Me	Steve Martin	Jazz	0
True Colors	"Cindy Lauper, 
Sarina Paris,
Justin Timberlake"	Ballad	
Wherever You Are	South Border	Ballad	8
While My Ukulele Gently Weeps	"George Harrison, 
Jake Shimabukuro"	Rock	0
Whiskey In the Jar	Metallica	Rock	0
Wonderful Tonight	Eric Clapton	Ballad	0
