link	Song Title	Artist	Key	Notes
all-my-life	All My Life	K-Ci & JoJo	A	-
believer	Believer	Imagine Dragons	Dm	-
blurry	Blurry	Puddle Of Mudd	G	-
butterflies	Butterflies	Kolohe Kai	G	75
color-everywhere	Color Everywhere	Youth Asylum	A	-
color-of-love	Color of Love	Boyz II Men	A	-
complicated	Complicated	Avril Lavigne	A	-
count-on-me	Count On Me	Bruno Mars	C	-
damn-i-love-you-r	Damn I Love You	JC Reyes	G	75
dahil-sa-iyo	Dahil Sa Iyo	Mike Velarde Jr.	Fm	-
drinking-problem	Drinking Problem	Ekolu, Midland	Bb	100
ehu-girl	Ehu Girl	Kolohe Kai	A	-
end-of-the-road	End of the Road	Boyz II Men	C	-
everything	Everything	Michael Buble	D	-
fallin-for-you	Fallin' For You	Colbie Caillat	C	-
far-from-you	Far From You	Natalie Prass	C	-
fly-me-to-the-moon	Fly Me to the Moon	Frank Sinatra	C	-
groove-witcha	Groove Witcha	Norm	A	Change key
hallelujah	Hallelujah	No Resolve	C	-
havent-met-you-yet	Haven't Met You Yet	Michael Buble	C	-
here-without-you	Here Without You	3 Doors Down	Am	-
honestly	Honestly	Ekolu	C	-
honey-baby	Honey Baby	Three Plus	A	75
how-deep-is-your-love	How Deep Is Your Love	Bee Gees	Eb	-
i-do	I Do	Colbie Caillat	F	-
i-can-love-you-like-that	I Can Love You Like That	All-4-One	C	-
ice-cream	Ice-Cream	Aldrine Guerrero	A	-
if-i-aint-got-you	If I Ain't Got You	Alicia Keys	Bb	-
ill-hear-your-voice	I'll Hear Your Voice	Rockapella	C	-
im-yours	I'm Yours	Jason Mraz	B	-
im-not-the-only-one	I'm Not the Only One	Sam Smith	C	85
in-pieces	In Pieces	Linkin Park	Em	Reggae
it-might-be-you	It Might Be You	Stephen Bishop	Bb	-
ive-got-you-under-my-skin	I've Got You Under My Skin	Frank Sinatra	D	-
kissing-a-fool	Kissing A Fool	George Michael	D	-
lay-me-down	Lay Me Down	Sam Smith	C	-
l-o-v-e	L-O-V-E	Nat King Cole	A	Cajon
love-and-honestly	Love and Honesty	Hawaiian Style Band	G	-
love-i	Love I	The Green	G	-
more	More	Bobby Darrin	G	-
more-than-words	More Than Words	Aloha Sex Juice	D	-
nightbird	Nightbird	Kalapana	C	-
only-mine	Only Mine	Aldrine Guerrero	F	-
perfect	Perfect	Ed Sheeran	F	-
pumapatak-ang-ulan	Pumapatak Ang Ulan	Apo Hiking Society	D	-
put-a-little-love	Put A Little Love	Natural Vibrations	C	-
regulate	Regulate	Nate Dogg, Warren G	Em	-
rhythm-of-love	Rhythm of Love	Plain White T's	G	85
rock-with-you	Rock With You	Michael Jackson	C	-
run-to-you	Run To You	Whitney Houston	C	-
sail-on	Sail On	The Commodores	C	-
seasons-of-love	Seasons of Love	Rent	F	-
selfish	Selfish	*NSYNC	G	-
shape-of-my-heart	Shape of My Heart	Backstreet Boys	C	-
show-me-the-meaning-of-being-lonely	Show Me the Meaning of Being Lonely	Backstreet Boys	Dm	-
someone-who-lives-in-your-heart	Someone Who Lives In Your Heart	All-4-One	G	-
somewhere-over-the-rainbow-what-a-wonderful-world	Somewhere Over the Rainbow / Wonderful World	Izzy Kamakawiwo'ole	C	Crowd-pleaser
stuck-on-you	Stuck On You	Lionel Richie	G	-
surface-pressure	Surface Pressure	Encanto	Gm	85
sweet-pea	Sweet Pea	Amos Lee	E	100
tears-in-heaven	Tears In Heaven	Eric Capton	A	-
tennessee-whiskey-tpain	Tennessee Whiskey	T-Pain	A	-
thats-all	That's All	Eddie Adams	C	-
the-messenger	The Messenger	Linkin Park	D	-
this-i-promise-you	This I Promise You	*NSYNC	G	-
true-colors	True Colors	Cyndi Lauper	C#m	-
truly	Truly	Lionel Richie	C	-
waiting-for-the-end	Waiting for the End	Linkin Park	E	-
waiting-in-vain	Waiting In Vain	Bob Marley	G	-
what-ive-done	What I've Done	Linkin Park	Em	-
why-do-i-have-to-wait	Why Do I Have To Wait	Ekolu	E	-
write-me-a-letter	Write Me A Letter	Maoli	C	-
youre-still-the-one	You're Still The One	Shania Twain	G	-
